Points For,Points Against,Strength of Schedule,Yards Per Play,Turnovers,Yards From Penalties,Offensive Rating,Defensive Rating,Location
7.0625,-3.125,-0.2,0.6000000000000005,-0.125,10.1875,6.199999999999999,3.8,1.0
0.1875,0.8125,-0.8,-0.39999999999999947,0.8125,14.6875,-0.10000000000000009,-1.3,-1.0
5.9375,-6.5,0.0,0.6999999999999993,-1.125,-19.5,5.3,7.1,1.0
0.75,-2.875,0.10000000000000003,0.09999999999999964,-0.3125,0.1875,0.3999999999999999,3.3,-1.0
7.125,-1.625,-1.2000000000000002,1.0999999999999996,-0.4375,-10.5,6.1,1.4,1.0
8.0625,-5.625,0.4,0.8999999999999995,-0.4375,-22.875,7.9,6.2,-1.0
-1.9375,1.4375,-0.29999999999999993,-0.20000000000000018,-0.125,-5.6875,-2.7,-1.0,-1.0
-2.0,-1.375,-0.19999999999999996,-0.40000000000000036,-0.25,-26.75,-2.4000000000000004,1.5,1.0
-0.5,-4.4375,-1.6,0.2999999999999998,-0.5,-12.0625,-1.5999999999999996,3.9,1.0
-2.0,-1.375,-0.19999999999999996,-0.40000000000000036,-0.25,-26.75,-2.4000000000000004,1.5,-1.0
-0.5,-4.4375,-1.6,0.2999999999999998,-0.5,-12.0625,-1.5999999999999996,3.9,-1.0
0.75,-2.875,0.10000000000000003,0.09999999999999964,-0.3125,0.1875,0.3999999999999999,3.3,1.0
7.1875,-2.625,0.0,0.39999999999999947,-0.625,-22.625,6.7,3.1,-1.0
10.375,-1.3125,-0.7000000000000001,0.8999999999999995,-0.8125,-17.375,10.4,0.6000000000000001,1.0
3.4375,-3.75,0.6000000000000001,0.2999999999999998,-0.6875,-14.4375,3.4,4.4,1.0
10.375,-1.3125,-0.7000000000000001,0.8999999999999995,-0.8125,-17.375,10.4,0.6000000000000001,-1.0
5.3125,-2.125,0.7,0.2999999999999998,-0.25,-5.25,5.2,2.9,-1.0
-0.1875,-0.8125,0.8,0.39999999999999947,-0.8125,-14.6875,0.10000000000000009,1.3,1.0
10.3125,-3.25,0.30000000000000004,1.4000000000000004,-0.625,-10.6875,11.0,2.9,1.0
6.5,-2.8125,-1.2,0.9000000000000004,-0.25,14.4375,5.9,2.2,-1.0
-0.5625,0.3125,-0.9999999999999999,0.2999999999999998,-0.125,4.25,-0.2999999999999998,-1.6,1.0
3.0625,-2.625,-1.2,0.20000000000000018,0.0,4.5,3.0,1.5,-1.0
4.1875,1.0,0.8999999999999999,0.40000000000000036,0.625,-2.25,4.9,-0.8,1.0
4.9375,-1.0,-1.0999999999999999,0.20000000000000018,0.4375,13.6875,4.8,0.0,-1.0
10.3125,-3.25,0.30000000000000004,1.4000000000000004,-0.625,-10.6875,11.0,2.9,-1.0
3.0,-0.1875,0.40000000000000013,0.7000000000000002,0.375,14.6875,3.6,0.0,1.0
4.8125,0.5625,-3.0,0.5,0.125,-2.875,3.7,-2.5,-1.0
6.5,-2.8125,-1.2,0.9000000000000004,-0.25,14.4375,5.9,2.2,1.0
-3.6875,4.625,-0.7,-0.09999999999999964,0.25,12.25,-3.4,-5.7,1.0
4.1875,1.0,0.8999999999999999,0.40000000000000036,0.625,-2.25,4.9,-0.8,-1.0
2.25,-1.0625,-0.7,-0.20000000000000018,0.6875,10.625,2.2,0.5,1.0
2.5,5.6875,-1.7,0.5999999999999996,0.6875,3.5,2.3,-7.300000000000001,1.0
3.0,-0.1875,0.40000000000000013,0.7000000000000002,0.375,14.6875,3.6,0.0,-1.0
5.5625,-5.375,-1.7999999999999998,0.5999999999999996,-0.4375,-0.5625,4.9,4.199999999999999,-1.0
-1.25,-1.5625,-1.7,0.20000000000000018,-0.1875,-12.25,-1.9999999999999996,0.5999999999999999,1.0
-0.75,2.875,-0.10000000000000003,-0.09999999999999964,0.3125,-0.1875,-0.3999999999999999,-3.3,1.0
9.625,1.5625,-0.8,0.7999999999999998,-0.5,-17.5625,10.0,-2.7,-1.0
5.1875,-3.625,-0.10000000000000003,0.5999999999999996,-0.8125,-19.6875,4.9,3.8,-1.0
6.4375,2.1875,1.8,1.0,-0.9375,-5.125,7.199999999999999,-1.1,1.0
7.3125,-2.75,0.3,0.7999999999999998,-0.125,-23.0625,7.5,2.9000000000000004,-1.0
2.75,2.25,1.0,0.7999999999999998,-0.75,-11.875,3.2,-1.7000000000000002,1.0
-1.25,-1.5625,-1.7,0.20000000000000018,-0.1875,-12.25,-1.9999999999999996,0.5999999999999999,-1.0
-0.9375,2.0625,0.7,0.2999999999999998,-0.5,-14.875,-0.2999999999999998,-2.0,1.0
-0.75,2.875,-0.10000000000000003,-0.09999999999999964,0.3125,-0.1875,-0.3999999999999999,-3.3,-1.0
-2.75,1.5,-0.3,-0.5,0.0625,-26.9375,-2.8000000000000003,-1.8,1.0
6.375,1.25,-1.3,1.0,-0.125,-10.6875,5.7,-1.9000000000000001,-1.0
